feature,stage,reason
wavelet-LHL_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
wavelet-LHL_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
wavelet-LHL_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
wavelet-LHL_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
wavelet-LHL_firstorder_10Percentile,icc,ICC_A=0.666 ≤ 0.75
wavelet-LHL_firstorder_Energy,icc,ICC_A=0.728 ≤ 0.75
wavelet-LHL_firstorder_Entropy,icc,ICC_A=0.617 ≤ 0.75
wavelet-LHL_firstorder_Kurtosis,icc,ICC_A=0.735 ≤ 0.75
wavelet-LHL_firstorder_Mean,icc,ICC_A=0.691 ≤ 0.75
wavelet-LHL_firstorder_Median,icc,ICC_A=-0.050 ≤ 0.75
wavelet-LHL_firstorder_Skewness,icc,ICC_A=0.636 ≤ 0.75
wavelet-LHL_firstorder_TotalEnergy,icc,ICC_A=0.728 ≤ 0.75
wavelet-LHL_firstorder_Uniformity,icc,ICC_A=0.252 ≤ 0.75
wavelet-LHL_glcm_Correlation,icc,ICC_A=0.374 ≤ 0.75
wavelet-LHL_glcm_DifferenceEntropy,icc,ICC_A=0.609 ≤ 0.75
wavelet-LHL_glcm_Id,icc,ICC_A=0.433 ≤ 0.75
wavelet-LHL_glcm_Idm,icc,ICC_A=0.399 ≤ 0.75
wavelet-LHL_glcm_Idn,icc,ICC_A=0.737 ≤ 0.75
wavelet-LHL_glcm_Imc1,icc,ICC_A=0.279 ≤ 0.75
wavelet-LHL_glcm_Imc2,icc,ICC_A=0.663 ≤ 0.75
wavelet-LHL_glcm_JointEnergy,icc,ICC_A=0.069 ≤ 0.75
wavelet-LHL_glcm_JointEntropy,icc,ICC_A=0.566 ≤ 0.75
wavelet-LHL_glcm_MCC,icc,ICC_A=0.538 ≤ 0.75
wavelet-LHL_glcm_MaximumProbability,icc,ICC_A=0.075 ≤ 0.75
wavelet-LHL_glcm_SumEntropy,icc,ICC_A=0.635 ≤ 0.75
wavelet-LHL_glrlm_GrayLevelNonUniformity,icc,ICC_A=0.632 ≤ 0.75
wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,icc,ICC_A=0.313 ≤ 0.75
wavelet-LHL_glrlm_LongRunEmphasis,icc,ICC_A=0.039 ≤ 0.75
wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,icc,ICC_A=0.019 ≤ 0.75
wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,icc,ICC_A=0.122 ≤ 0.75
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,icc,ICC_A=0.274 ≤ 0.75
wavelet-LHL_glrlm_RunPercentage,icc,ICC_A=0.188 ≤ 0.75
wavelet-LHL_glrlm_RunVariance,icc,ICC_A=0.028 ≤ 0.75
wavelet-LHL_glrlm_ShortRunEmphasis,icc,ICC_A=0.171 ≤ 0.75
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,icc,ICC_A=0.203 ≤ 0.75
wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,icc,ICC_A=0.284 ≤ 0.75
wavelet-LHL_glszm_LargeAreaEmphasis,icc,ICC_A=0.006 ≤ 0.75
wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,icc,ICC_A=0.400 ≤ 0.75
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,icc,ICC_A=0.001 ≤ 0.75
wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,icc,ICC_A=0.114 ≤ 0.75
wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,icc,ICC_A=0.509 ≤ 0.75
wavelet-LHL_glszm_SmallAreaEmphasis,icc,ICC_A=0.362 ≤ 0.75
wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,icc,ICC_A=0.255 ≤ 0.75
wavelet-LHL_glszm_ZoneEntropy,icc,ICC_A=0.717 ≤ 0.75
wavelet-LHL_glszm_ZonePercentage,icc,ICC_A=0.732 ≤ 0.75
